estimate,pval,var,trial_key
-12.49890542999998,0.5744044225132177,bestsav_dolac,amun_22
-38.33154154099992,0.19419488015036954,midsav_dolac,amun_22
-64.16417765199981,0.09104933045284547,worstsav_dolac,amun_22
45.77520719249998,0.0032173930403389594,bestsav_dolac,ande_22
27.33572199974992,0.020693071067201554,midsav_dolac,ande_22
8.89623680699998,0.28885564332800623,worstsav_dolac,ande_22
-27.799999999999955,0.10968746484371598,bestsav_dolac,bake_22
-59.43333333333347,0.03618613405292266,midsav_dolac,bake_22
-91.06666666666676,0.02035085834658415,worstsav_dolac,bake_22
-36.243351592500005,0.2127660054191765,bestsav_dolac,bard_22
-66.27082227974995,0.0880927399261168,midsav_dolac,bard_22
-96.29829296700001,0.04955358932336099,worstsav_dolac,bard_22
46.549529737499995,0.002853148854608548,bestsav_dolac,benn_22
29.449368591249993,0.0158221080663806,midsav_dolac,benn_22
12.349207445000047,0.16487725039202172,worstsav_dolac,benn_22
-138.63078818249994,0.035833869706037615,bestsav_dolac,borc_22
-170.02401651274994,0.030785059324152302,midsav_dolac,borc_22
-201.417244843,0.027537179469627353,worstsav_dolac,borc_22
68.59274999999991,7.985179830677711e-4,bestsav_dolac,boye_22
54.93442500000003,0.0023555515240182797,midsav_dolac,boye_22
41.276099999999985,0.00774659855944715,worstsav_dolac,boye_22
-46.808876579999946,0.0499730632811899,bestsav_dolac,deal_22
-78.486052046,0.01912686679420661,midsav_dolac,deal_22
-110.16322751200005,0.010662187417176661,worstsav_dolac,deal_22
-83.68453716749994,0.002302142266800698,bestsav_dolac,dool_22
-128.43001753224996,0.0010001635663126835,midsav_dolac,dool_22
-173.1754978969999,6.002733153291255e-4,worstsav_dolac,dool_22
28.088201302499954,0.16212090530371848,bestsav_dolac,fred_22
8.105481856749947,0.6763707502568548,midsav_dolac,fred_22
-11.87723758900006,0.5938961648059661,worstsav_dolac,fred_22
-42.398139131249934,0.013394698341948022,bestsav_dolac,freds_22
-73.38662050437495,0.001717441867187961,midsav_dolac,freds_22
-104.37510187749999,4.618522261906732e-4,worstsav_dolac,freds_22
-220.72091717999987,0.008659639388410927,bestsav_dolac,harv_22
-279.06541126599996,0.006718724898315986,midsav_dolac,harv_22
-337.4099053520001,0.005608646022957858,worstsav_dolac,harv_22
-59.940000000000026,0.07406973843457411,bestsav_dolac,prev_22
-91.71800000000005,0.03761933177482683,midsav_dolac,prev_22
-123.49600000000001,0.024141771150964383,worstsav_dolac,prev_22
65.83500382500002,0.010941681180846988,bestsav_dolac,sier_22
47.067346527500035,0.0395494006826667,midsav_dolac,sier_22
28.29968923000007,0.16098495361723242,worstsav_dolac,sier_22
-117.54488178750023,0.020387295087897564,bestsav_dolac,veen1_22
-160.26680192625003,0.01299524859615518,midsav_dolac,veen1_22
-202.9887220650001,0.009570590707035743,worstsav_dolac,veen1_22
99.19677503999998,0.158803476846073,bestsav_dolac,veen2_22
90.31697324799995,0.23793360024717597,midsav_dolac,veen2_22
81.43717145599999,0.32729792506440875,worstsav_dolac,veen2_22
84.68809792714288,0.020162329533066,bestsav_dolac,wald_22
61.846064094714166,0.09488450904110719,midsav_dolac,wald_22
39.00403026228583,0.31320461498845886,worstsav_dolac,wald_22
108.24295849500001,9.606256503911429e-4,bestsav_dolac,waldnorep1_22
89.07878885649988,0.00435106905505183,midsav_dolac,waldnorep1_22
69.91461921800014,0.019032079915882707,worstsav_dolac,waldnorep1_22
