trial_key,rep,trt,nrate_lbac,yield_buac
amun_22,1,red,81,225.9289941
amun_22,1,typ,130,234.1473373
amun_22,2,red,81,220.9497041
amun_22,2,typ,130,231.8236686
amun_22,3,red,81,226.3715976
amun_22,3,typ,130,234.5094675
amun_22,4,red,81,209.0195266
amun_22,4,typ,130,231.8236686
ande_22,1,red,105,170.4827574
ande_22,1,typ,157.5,174.2869112
ande_22,2,red,105,170.5026036
ande_22,2,typ,157.5,171.5474556
ande_22,3,red,105,169.7533373
ande_22,3,typ,157.5,171.785645
ande_22,4,red,105,166.7737278
ande_22,4,typ,157.5,171.9799882
bake_22,1,red,95,181
bake_22,1,typ,NA,NA
bake_22,2,red,95,189
bake_22,2,typ,151,205
bake_22,3,red,95,186
bake_22,3,typ,151,200
bake_22,4,red,95,182
bake_22,4,typ,151,202
bard_22,1,red,115,201.5338473
bard_22,1,typ,165,217.6843846
bard_22,2,red,115,218.3849562
bard_22,2,typ,165,224.1985882
bard_22,3,red,115,211.8907349
bard_22,3,typ,165,233.6417183
bard_22,4,red,115,215.7633136
bard_22,4,typ,165,239.587355
benn_22,1,red,139,242.9057481
benn_22,1,typ,189,246.4518174
benn_22,2,red,139,241.8845097
benn_22,2,typ,189,241.8845097
benn_22,3,red,139,240.7121724
benn_22,3,typ,189,242.6299662
benn_22,4,red,139,241.1538462
benn_22,4,typ,189,245.1289096
borc_22,1,red,106,182.1874692
borc_22,1,typ,126,197.4486203
borc_22,2,red,106,190.6284195
borc_22,2,typ,126,215.7989851
borc_22,3,red,106,192.314434
borc_22,3,typ,126,218.8881989
borc_22,4,red,106,182.4920396
borc_22,4,typ,126,229.6134269
boye_22,1,red,130,216.09
boye_22,1,typ,180,216.95
boye_22,2,red,130,222.8
boye_22,2,typ,180,221.25
boye_22,3,red,130,237.47
boye_22,3,typ,180,235.36
boye_22,4,red,130,243.7
boye_22,4,typ,180,240.47
deal_22,1,red,164,204.2610178
deal_22,1,typ,214,224.771645
deal_22,2,red,164,206.1628402
deal_22,2,typ,214,230.64
deal_22,3,red,164,212.4692308
deal_22,3,typ,214,224.6604852
deal_22,4,red,164,201.1331361
deal_22,4,typ,214,218.9076923
dool_22,1,red,100,122.3425613
dool_22,1,typ,165,147.118
dool_22,2,red,100,123.8773246
dool_22,2,typ,165,153.4763314
dool_22,3,red,100,126.1794696
dool_22,3,typ,165,153.4763314
dool_22,4,red,100,118.7249049
dool_22,4,typ,165,150.5164307
fred_22,1,red,100,152.0452791
fred_22,1,typ,150,150.6532765
fred_22,2,red,100,163.0894189
fred_22,2,typ,150,174.3173215
fred_22,3,red,100,174.0894557
fred_22,3,typ,150,178.9444669
fred_22,4,red,100,175.0009188
fred_22,4,typ,150,182.7042523
freds_22,1,red,110,217.727574
freds_22,1,typ,160,235.9249704
freds_22,2,red,110,209.3209467
freds_22,2,typ,160,239.1410651
freds_22,3,red,110,219.6205917
freds_22,3,typ,160,243.0594083
freds_22,4,red,110,219.6205917
freds_22,4,typ,160,239.415858
freds_22,5,red,110,220.5060355
freds_22,5,typ,160,232.1389349
freds_22,6,red,110,222.1853254
freds_22,6,typ,160,233.0447337
freds_22,7,red,110,225.9510059
freds_22,7,typ,160,239.3751479
freds_22,8,red,110,222.1140828
freds_22,8,typ,160,238.6627219
harv_22,1,red,59,163.0686391
harv_22,1,typ,108,213.8798817
harv_22,2,red,59,163.0686391
harv_22,2,typ,108,202.0633136
harv_22,3,red,59,159.5236686
harv_22,3,typ,108,199.7
harv_22,4,red,59,151.252071
harv_22,4,typ,108,217.4248521
prev_22,1,red,200,88.6
prev_22,1,typ,246,104
prev_22,2,red,200,96.4
prev_22,2,typ,246,127.2
prev_22,3,red,200,109.7
prev_22,3,typ,246,123.1
prev_22,4,red,200,96.2
prev_22,4,typ,246,117.4
sier_22,1,red,199,150.9466298
sier_22,1,typ,258.6,149.7134057
sier_22,2,red,199,142.9011452
sier_22,2,typ,258.6,140.5875473
sier_22,3,red,199,137.9698308
sier_22,3,typ,258.6,144.7995666
sier_22,4,red,199,147.1113392
sier_22,4,typ,258.6,147.8178964
veen1_22,1,red,108,201.2828402
veen1_22,1,typ,158,236.0284024
veen1_22,2,red,108,199.5266272
veen1_22,2,typ,158,217
veen1_22,3,red,108,188.3289941
veen1_22,3,typ,158,224.9301775
veen1_22,4,red,108,192.2272189
veen1_22,4,typ,158,228
veen2_22,1,red,108,193.4733728
veen2_22,1,typ,158,162.9514793
veen2_22,2,red,108,194.4970414
veen2_22,2,typ,158,195.2946746
veen2_22,3,red,108,192.0899408
veen2_22,3,typ,158,180.9988166
veen2_22,4,red,108,169.5360947
veen2_22,4,typ,158,182.8449704
wald_22,1,red,190,191.9609467
wald_22,1,typ,264,217.4769231
wald_22,2,red,190,174.7704142
wald_22,2,typ,264,170.9502959
wald_22,3,red,190,181.2307692
wald_22,3,typ,264,175.9431953
wald_22,4,red,190,192.9100592
wald_22,4,typ,264,186.2307692
wald_22,5,red,190,182.6840237
wald_22,5,typ,264,192.6769231
wald_22,6,red,190,177.9266272
wald_22,6,typ,264,170.1029586
wald_22,7,red,190,170.8402367
wald_22,7,typ,264,163.991716
